Nom de projet,A7538,,
Epaisseur edge mm,0,,
,,,
Graver le nom,0,,
nom,#,x,y
1,1      ,22        ,19   1/8  
2,1      ,22        ,18  13/16 
3,1      ,21  15/16 ,71  11/16 
4,1      ,21  15/16 ,33        
5,2      ,21  15/16 ,19   1/8  
6,1      ,21  15/16 ,18  13/16 
7,1      ,22        ,33        
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
