Nom de projet,A7581,,
Epaisseur edge mm,0,,
,,,
Graver le nom,0,,
nom,#,x,y
1,1      ,29 337/471,14 460/779
2,1      ,29 337/471,15 114/529
3,1      ,30  27/67 ,14 460/779
4,1      ,30  27/67 ,5 389/500
5,1      ,30  27/67 ,14 460/779
6,1      ,30  27/67 ,14 460/779
7,2      ,14 391/433,50  28/29 
8,0      ,0        ,0        
9,1      ,30  27/67 ,14 460/779
10,1      ,36  20/221,14 460/779
11,3      ,30  66/125,30   7/250
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
