Nom de projet,A7413,,
Epaisseur edge mm,0,,
,,,
Graver le nom,0,,
nom,#,x,y
1,2      ,40   3/4  ,13   1/8  
2,1      ,35   1/2  ,7   5/16 
3,1      ,35   1/2  ,6  11/16 
4,1      ,29   1/2  ,15  13/16 
5,2      ,29   1/2  ,13   3/32 
6,2      ,29   1/2  ,7  27/32 
7,1      ,29   1/2  ,5   3/4  
8,2      ,23   3/8  ,10  21/32 
9,2      ,23   3/8  ,10  19/32 
10,2      ,22        ,14   7/8  
11,1      ,22        ,14   5/16 
12,2      ,11   5/8  ,27        
13,1      ,11   1/2  ,29   3/8  
14,2      ,10  11/16 ,34        
15,2      ,10  11/16 ,25        
16,1      ,6   7/8  ,34        
17,1      ,6   7/8  ,32   7/8  
18,1      ,6   7/8  ,25        
19,1      ,6   7/8  ,14   5/16 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
