Nom de projet,A7568,,
Epaisseur edge mm,0,,
,,,
Graver le nom,0,,
nom,#,x,y
1,1      ,22   1/2  ,38   1/2  
2,0      ,0        ,0        
3,1      ,33   1/4  ,35        
4,1      ,13   3/8  ,23   1/8  
5,1      ,28   3/8  ,16        
6,2      ,28   3/8  ,15   1/4  
7,4      ,5   7/8  ,16        
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
