Nom de projet,A7580,,
Epaisseur edge mm,0,,
,,,
Graver le nom,0,,
nom,#,x,y
1,4      ,19   1/4  ,10        
2,1      ,28   3/8  ,5   7/8  
3,1      ,19   1/4  ,5   7/8  
4,1      ,19   1/4  ,5   7/8  
5,1      ,16   1/8  ,5   7/8  
6,1      ,13   7/8  ,5   7/8  
7,2      ,13   3/8  ,21   1/2  
8,2      ,15   1/8  ,17   1/2  
9,2      ,18   1/4  ,34   1/2  
10,1      ,16   1/8  ,21   1/2  
11,1      ,13   7/8  ,21   1/2  
12,1      ,32   1/8  ,21        
13,1      ,16   1/2  ,17   1/2  
14,1      ,16   1/2  ,64   7/8  
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
